1	Финляндия	7.809
2	Дания	7.646
3	Швейцария	7.560
4	Исландия	7.504
5	Норвегия	7.488
6	Нидерланды	7.449
7	Швеция	7.353
8	Новая Зеландия	7.300
9	Австрия	7.294
10	Люксембург	7.238
11	Канада	7.232
12	Австралия	7.223
13	Великобритания	7.165
14	Израиль	7.129
15	Коста-Рика	7.121
16	Ирландия	7.094
17	Германия	7.076
18	США	6.940
19	Чехия	6.911
20	Бельгия	6.864
21	ОАЭ	6.791
22	Мальта	6.773
23	Франция	6.664
24	Мексика	6.465
25	Тайвань	6.455
26	Уругвай	6.440
27	Саудовская Аравия	6.406
28	Испания	6.401
29	Гватемала	6.399
30	Италия	6.387
31	Сингапур	6.377
32	Бразилия	6.376
33	Словения	6.363
34	Сальвадор	6.348
35	Косово	6.325
36	Панама	6.305
37	Словакия	6.281
38	Узбекистан	6.258
39	Чили	6.228
40	Бахрейн	6.227
41	Литва	6.215
42	Тринидад и Тобаго	6.192
43	Польша	6.186
44	Колумбия	6.163
45	Кипр	6.159
46	Никарагуа	6.137
47	Румыния	6.124
48	Кувейт	6.102
49	Маврикий	6.101
50	Казахстан	6.058
51	Эстония	6.022
52	Филиппины	6.006
53	Венгрия	6.000
54	Таиланд	5.999
55	Аргентина	5.975
56	Гондурас	5.953
57	Латвия	5.950
58	Эквадор	5.925
59	Португалия	5.911
60	Ямайка	5.890
61	Южная Корея	5.872
62	Япония	5.871
63	Перу	5.797
64	Сербия	5.778
65	Боливия	5.747
66	Пакистан	5.693
67	Парагвай	5.692
68	Домини­кана	5.689
69	Босния и Герцего­вина	5.674
70	Молдова	5.608
71	Таджикистан	5.556
72	Черногория	5.546
73	Россия	5.546
74	Кыргызстан	5.542
75	Беларусь	5.540
76	Северный Кипр	5.536
77	Греция	5.515
78	Гонконг	5.510
79	Хорватия	5.505
80	Ливия	5.489
81	Монголия	5.456
82	Малайзия	5.384
83	Вьетнам	5.353
84	Индонезия	5.286
85	Кот-д’Ивуар	5.233
86	Бенин	5.216
87	Мальдивы	5.198
88	Конго	5.194
89	Азербайджан	5.165
90	Македония	5.160
91	Гана	5.148
92	Непал	5.137
93	Турция	5.132
94	Китай	5.124
95	Туркменистан	5.119
96	Болгария	5.102
97	Марокко	5.095
98	Камерун	5.085
99	Венесуэла	5.053
100	Алжир	5.005
101	Сенегал	4.981
102	Гвинея	4.949
103	Нигер	4.910
104	Лаос	4.889
105	Албания	4.883
106	Камбоджа	4.848
107	Бангла­деш	4.833
108	Габон	4.829
109	Южная Африка	4.814
110	Ирак	4.785
111	Ливан	4.772
112	Буркина Фасо	4.769
113	Гамбия	4.751
114	Мали	4.729
115	Нигерия	4.724
116	Армения	4.677
117	Грузия	4.673
118	Иран	4.672
119	Иордания	4.633
120	Мозамбик	4.624
121	Кения	4.583
122	Намибия	4.571
123	Украина	4.561
124	Либерия	4.558
125	Палестина	4.553
126	Уганда	4.432
127	Чад	4.423
128	Тунис	4.392
129	Мавритания	4.375
130	Шри-Ланка	4.327
131	Демократическая Республика Конго	4.311
132	Свази­ленд	4.308
133	Мьянма	4.308
134	Коморские Острова	4.289
135	Того	4.187
136	Эфиопия	4.186
137	Мадагаскар	4.166
138	Египет	4.151
139	Сьерра-Леоне	3.926
140	Бурунди	3.775
141	Замбия	3.759
142	Гаити	3.721
143	Лесото	3.653
144	Индия	3.573
145	Малави	3.538
146	Йемен	3.527
147	Ботсвана	3.479
148	Танзания	3.476
149	Центрально-Африканская Республика	3.476
150	Руанда	3.312
151	Зимбабве	3.299
152	Южный Судан	2.817
153	Афганистан	2.567